NAME                      VERSION                         TYPE                     
Simple Launcher           1.1.0.14                        binary  (+5 duplicates)  
adduser                   3.152                           deb                      
apt                       3.0.3                           deb                      
base-files                13.8+deb13u1                    deb                      
base-passwd               3.6.7                           deb                      
bash                      5.2.37                          binary                   
bash                      5.2.37-2+b5                     deb                      
bash-completion           1:2.16.0-7                      deb                      
bsdutils                  1:2.41-5                        deb                      
ca-certificates           20250419                        deb                      
cli                       UNKNOWN                         binary                   
cli-32                    UNKNOWN                         binary                   
cli-64                    UNKNOWN                         binary                   
cli-arm64                 UNKNOWN                         binary                   
coreutils                 9.7-3                           deb                      
curl                      8.14.1                          binary                   
curl                      8.14.1-2                        deb                      
dash                      0.5.12-12                       deb                      
debconf                   1.5.91                          deb                      
debian-archive-keyring    2025.1                          deb                      
debianutils               5.23.2                          deb                      
diffutils                 1:3.10-4                        deb                      
dpkg                      1.22.21                         deb                      
findutils                 4.10.0-3                        deb                      
gcc-14                    14.2.0-19                       deb                      
gcc-14-base               14.2.0-19                       deb                      
git                       1:2.47.3-0+deb13u1              deb                      
git-man                   1:2.47.3-0+deb13u1              deb                      
grep                      3.11-4                          deb                      
gui                       UNKNOWN                         binary                   
gui-32                    UNKNOWN                         binary                   
gui-64                    UNKNOWN                         binary                   
gui-arm64                 UNKNOWN                         binary                   
gzip                      1.13                            binary                   
gzip                      1.13-1                          deb                      
hostname                  3.25                            deb                      
init-system-helpers       1.69~deb13u1                    deb                      
krb5-locales              1.21.3-5                        deb                      
less                      668-1                           deb                      
libacl1                   2.3.2-2+b1                      deb                      
libapt-pkg7.0             3.0.3                           deb                      
libattr1                  1:2.5.2-3                       deb                      
libaudit-common           1:4.0.2-2                       deb                      
libaudit1                 1:4.0.2-2+b2                    deb                      
libblkid1                 2.41-5                          deb                      
libbrotli1                1.1.0-2+b7                      deb                      
libbsd0                   0.12.2-2                        deb                      
libbz2-1.0                1.0.8-6                         deb                      
libc-bin                  2.41-12                         deb                      
libc6                     2.41-12                         deb                      
libcap-ng0                0.8.5-4+b1                      deb                      
libcap2                   1:2.75-10+b1                    deb                      
libcbor0.10               0.10.2-2                        deb                      
libcom-err2               1.47.2-3+b3                     deb                      
libcrypt1                 1:4.4.38-1                      deb                      
libcurl3t64-gnutls        8.14.1-2                        deb                      
libcurl4t64               8.14.1-2                        deb                      
libdb5.3t64               5.3.28+dfsg2-9                  deb                      
libdebconfclient0         0.280                           deb                      
libedit2                  3.1-20250104-1                  deb                      
liberror-perl             0.17030-1                       deb                      
libexpat1                 2.7.1-2                         deb                      
libffi8                   3.4.8-2                         deb                      
libfido2-1                1.15.0-1+b1                     deb                      
libgcc-s1                 14.2.0-19                       deb                      
libgdbm-compat4t64        1.24-2                          deb                      
libgdbm6t64               1.24-2                          deb                      
libgmp10                  2:6.3.0+dfsg-3                  deb                      
libgnutls30t64            3.8.9-3                         deb                      
libgssapi-krb5-2          1.21.3-5                        deb                      
libhogweed6t64            3.10.1-1                        deb                      
